"filename","title","solution","feature","role"
"./metadata.md","","Experience Manager, Experience Manager 6.5","",""
"./help/communities/TOC.md","","","Communities","User"
"help/communities/home.md","Adobe Experience Manager 6.5 Communities Guide","Experience Manager","Communities","User"
"help/communities/administer-landing.md","Communities Sites","Experience Manager","Communities","Admin"
"help/communities/overview.md","AEM Communities Overview","Experience Manager","Communities","Admin"
"help/communities/getting-started.md","Getting Started with AEM Communities","Experience Manager","Communities","Admin"
"help/communities/setup.md","Initial Setup","Experience Manager","Communities","Admin"
"help/communities/create-site.md","Author a Community Site","Experience Manager","Communities","Admin"
"help/communities/published-site.md","Experience the Published Site","Experience Manager","Communities","Admin"
"help/communities/nested-groups.md","Authoring Nested Groups","Experience Manager","Communities","Admin"
"help/communities/deploy-communities.md","Deploying Communities","Experience Manager","Communities","Admin"
"help/communities/upgrade.md","Upgrading to AEM 6.5 Communities","Experience Manager","Communities","Admin"
"help/communities/topologies.md","Recommended Topologies for Communities","Experience Manager","Communities","Admin"
"help/communities/dispatcher.md","Configuring Dispatcher for Communities","Experience Manager","Communities","Admin"
"help/communities/user-ugc-management-service.md","User and UGC Management Service in AEM Communities","Experience Manager","Communities","Admin"
"help/communities/consoles.md","Communities Consoles","Experience Manager","Communities","Admin"
"help/communities/analytics.md","Analytics Configuration for Communities Features","Experience Manager","Communities","Admin"
"help/communities/messaging.md","Configure Messaging","Experience Manager","Communities","Admin"
"help/communities/moderate-ugc.md","Moderating Community Content","Experience Manager","Communities","Admin"
"help/communities/email.md","Configuring Email","Experience Manager","Communities","Admin"
"help/communities/notifications.md","Communities Notifications","Experience Manager","Communities","Admin"
"help/communities/subscriptions.md","Communities Subscriptions","Experience Manager","Communities","Admin"
"help/communities/implementing-scoring.md","Communities Scoring and Badges","Experience Manager","Communities","Admin"
"help/communities/users.md","Managing Users and User Groups","Experience Manager","Communities","Admin"
"help/communities/groups.md","Community Groups Console","Experience Manager","Communities","Admin"
"help/communities/social-login.md","Social Login with Facebook and Twitter","Experience Manager","Communities","Admin"
"help/communities/working-with-srp.md","SRP - Community Content Storage","Experience Manager","Communities","Admin"
"help/communities/sites-console.md","Communities Sites Console","Experience Manager","Communities","Admin"
"help/communities/members.md","Members & Groups Management Consoles","Experience Manager","Communities","Admin"
"help/communities/moderation.md","Moderation Console","Experience Manager","Communities","Admin"
"help/communities/tools.md","Communities Tools","Experience Manager","Communities","Admin"
"help/communities/sites.md","Site Templates","Experience Manager","Communities","Admin"
"help/communities/tools-groups.md","Group Templates","Experience Manager","Communities","Admin"
"help/communities/functions.md","Community Functions","Experience Manager","Communities","Admin"
"help/communities/srp-config.md","Storage Configuration","Experience Manager","Communities","Admin"
"help/communities/badges.md","Badges Console","Experience Manager","Communities","Admin"
"help/communities/reports.md","Reports Console","Experience Manager","Communities","Admin"
"help/communities/ffmpeg.md","FFmpeg for Communities","Experience Manager","Communities","Admin"
"help/communities/in-context.md","In-Context Moderation","Experience Manager","Communities","Admin"
"help/communities/advanced.md","Advanced Scoring and Badges","Experience Manager","Communities","Admin"
"help/communities/asrp.md","ASRP - Adobe Storage Resource Provider","Experience Manager","Communities","Admin"
"help/communities/msrp.md","MSRP - MongoDB Storage Resource Provider","Experience Manager","Communities","Admin"
"help/communities/demo-mongo.md","How to set up MongoDB for Demo","Experience Manager","Communities","Admin"
"help/communities/dsrp.md","DSRP - Relational Database Storage Resource Provider","Experience Manager","Communities","Admin"
"help/communities/dsrp-mysql.md","MySQL Configuration for DSRP","Experience Manager","Communities","Admin"
"help/communities/jsrp.md","JSRP - JCR Storage Resource Provider","Experience Manager","Communities","Admin"
"help/communities/solr.md","Solr Configuration for SRP","Experience Manager","Communities","Admin"
"help/communities/tag-ugc.md","Tagging User Generated Content","Experience Manager","Communities","Admin"
"help/communities/translate-ugc.md","Translating User-Generated Content","Experience Manager","Communities","Admin"
"help/communities/sync.md","Communities User Synchronization","Experience Manager","Communities","Admin"
"help/communities/limits.md","Member Contribution Limits","Experience Manager","Communities","Admin"
"help/communities/communities.md","Developing Communities","Experience Manager","Communities","Developer"
"help/communities/scf.md","Social Component Framework","Experience Manager","Communities","Admin"
"help/communities/components-guide.md","Community Components Guide","Experience Manager","Communities","Admin"
"help/communities/essentials.md","Component, Function and Feature Essentials","Experience Manager","Communities","Admin"
"help/communities/tutorials.md","Tutorials","Experience Manager","Communities","Admin"
"help/communities/troubleshooting.md","Troubleshooting Community","Experience Manager","Communities","Admin"
"help/communities/code-guide.md","Coding Guidelines","Experience Manager","Communities","Admin"
"help/communities/server-customize.md","Server-side Customization","Experience Manager","Communities","Admin"
"help/communities/client-customize.md","Client-side Customization","Experience Manager","Communities","Admin"
"help/communities/handlebars-helpers.md","SCF Handlebars Helpers","Experience Manager","Communities","Admin"
"help/communities/srp.md","Storage Resource Provider Overview","Experience Manager","Communities","Admin"
"help/communities/sites-for-developers.md","Community Site Essentials","Experience Manager","Communities","Admin"
"help/communities/essentials-activities.md","Activity Stream Essentials","Experience Manager","Communities","Admin"
"help/communities/blog-developer-basics.md","Blog Essentials","Experience Manager","Communities","Admin"
"help/communities/calendar-basics-for-developers.md","Calendar Essentials","Experience Manager","Communities","Admin"
"help/communities/clientlibs.md","Clientlibs for Communities Components","Experience Manager","Communities","Admin"
"help/communities/essentials-comments.md","Comments Essentials","Experience Manager","Communities","Admin"
"help/communities/events.md","OSGi Events for Communities Components","Experience Manager","Communities","Admin"
"help/communities/essentials-featured.md","Featured Content Essentials","Experience Manager","Communities","Admin"
"help/communities/essentials-file-library.md","File Library Essentials","Experience Manager","Communities","Admin"
"help/communities/essentials-forum.md","Forum Essentials","Experience Manager","Communities","Admin"
"help/communities/essentials-groups.md","Community Group Essentials","Experience Manager","Communities","Admin"
"help/communities/ideation.md","Ideation Essentials","Experience Manager","Communities","Admin"
"help/communities/leaderboard.md","Leaderboard Essentials","Experience Manager","Communities","Admin"
"help/communities/essentials-liking.md","Liking Essentials","Experience Manager","Communities","Admin"
"help/communities/essentials-messaging.md","Messaging Essentials","Experience Manager","Communities","Admin"
"help/communities/qna-essentials.md","QnA Essentials","Experience Manager","Communities","Admin"
"help/communities/rating-basics.md","Rating Essentials","Experience Manager","Communities","Admin"
"help/communities/reviews-basics.md","Reviews Essentials","Experience Manager","Communities","Admin"
"help/communities/rte.md","Rich Text Editor Essentials","Experience Manager","Communities","Admin"
"help/communities/configure-scoring.md","Scoring and Badges Essentials","Experience Manager","Communities","Admin"
"help/communities/search-implementation.md","Search Essentials","Experience Manager","Communities","Admin"
"help/communities/sideloading.md","Component Sideloading","Experience Manager","Communities","Admin"
"help/communities/essentials-socialgraph.md","Social Graph Essentials","Experience Manager","Communities","Admin"
"help/communities/srp-and-ugc.md","SRP and UGC Essentials","Experience Manager","Communities","Developer"
"help/communities/tag.md","Tag Essentials","Experience Manager","Communities","Developer"
"help/communities/tally.md","Tally Essentials","Experience Manager","Communities","Developer"
"help/communities/essentials-voting.md","Voting Essentials","Experience Manager","Communities","Developer"
"help/communities/setup-website.md","Setup Website Structure","Experience Manager","Communities","Developer"
"help/communities/an-scf-sandbox.md","Create An SCF Sandbox","Experience Manager","Communities","Developer"
"help/communities/initial-app.md","Initial Sandbox Application","Experience Manager","Communities","Developer"
"help/communities/initial-content.md","Initial Sandbox Content","Experience Manager","Communities","Developer"
"help/communities/develop-app.md","Develop Sandbox Application","Experience Manager","Communities","Developer"
"help/communities/develop-content.md","Develop Sandbox Content","Experience Manager","Communities","Developer"
"help/communities/add-clientlibs.md","Add Clientlibs","Experience Manager","Communities","Developer"
"help/communities/overlay-comments.md","Overlay Communities components","Experience Manager","Communities","Developer"
"help/communities/overlay-create-comments-page.md","Create Comments Page","Experience Manager","Communities","Developer"
"help/communities/overlay-create-nodes.md","Create Nodes","Experience Manager","Communities","Developer"
"help/communities/overlay-alter-appearance.md","Alter the Appearance","Experience Manager","Communities","Developer"
"help/communities/extend-create-components.md","Create the Components","Experience Manager","Communities","Developer"
"help/communities/extend-sample-page.md","Add Comment to Sample Page","Experience Manager","Communities","Developer"
"help/communities/extend-comments.md","Extend Comments Component","Experience Manager","Communities","Developer"
"help/communities/extend-alter-appearance.md","Alter the Appearance (HBS)","Experience Manager","Communities","Developer"
"help/communities/create-sample-page.md","Create a Sample Page","Experience Manager","Communities","Developer"
"help/communities/accessing-ugc-with-srp.md","Accessing UGC with SRP","Experience Manager","Communities","Developer"
"help/communities/maven.md","Using Maven for Communities","Experience Manager","Communities","Developer"
"help/communities/naming-conventions.md","Naming conventions in the Java&trade; package name","Experience Manager","Communities","Developer"
"help/communities/socialutils.md","SocialUtils Refactoring","Experience Manager","Communities","Admin"
"help/communities/author-communities.md","Communities Components","Experience Manager","Communities","Admin"
"help/communities/basics.md","Communities Components Basics","Experience Manager","Communities","Admin"
"help/communities/activities.md","Activity Streams Feature","Experience Manager","Communities","Admin"
"help/communities/blog-feature.md","Blog Feature","Experience Manager","Communities","Admin"
"help/communities/calendar.md","Calendar Feature","Experience Manager","Communities","Admin"
"help/communities/comments.md","Using Comments","Experience Manager","Communities","Admin"
"help/communities/featured.md","Featured Content Feature","Experience Manager","Communities","Admin"
"help/communities/file-library.md","File Library Feature","Experience Manager","Communities","Admin"
"help/communities/forum.md","Forum Feature","Experience Manager","Communities","Admin"
"help/communities/creating-groups.md","Community Groups","Experience Manager","Communities","Admin"
"help/communities/ideation-feature.md","Ideation Feature","Experience Manager","Communities","Admin"
"help/communities/enabling-leaderboard.md","Leaderboard Feature","Experience Manager","Communities","Admin"
"help/communities/liking.md","Using Liking","Experience Manager","Communities","Admin"
"help/communities/configure-messaging.md","Messaging Feature","Experience Manager","Communities","Admin"
"help/communities/working-with-qna.md","Q&A Forum Feature","Experience Manager","Communities","Admin"
"help/communities/rating.md","Using Ratings","Experience Manager","Communities","Admin"
"help/communities/reviews.md","Using Reviews and Reviews Summary (Display)","Experience Manager","Communities","Admin"
"help/communities/search.md","Search Feature","Experience Manager","Communities","Admin"
"help/communities/socialgraph.md","Using Social Graph","Experience Manager","Communities","Admin"
"help/communities/trends.md","Activity Trends","Experience Manager","Communities","Admin"
"help/communities/tagcloud.md","Using Social Tag Cloud","Experience Manager","Communities","Admin"
"help/communities/voting.md","Using Voting","Experience Manager","Communities","Admin"
