"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"./help/sites-administering/TOC.md","","","Administering","","Administrator",""
"help/sites-administering/home.md","AEM 6.5 Administering User Guide","AEM administering","","","",""
"help/sites-administering/msm-and-translation.md","Website Administration","Learn how to manage multilingual websites in AEM.","","","",""
"help/sites-administering/asynchronous-jobs.md","Asynchronous Jobs","Adobe Experience Manager optimizes performance by asynchronously completing some resource-intensive tasks.","","","",""
"help/sites-administering/msm.md","""Reusing Content: Multi Site Manager and Live Copy""","Learn about reusing content with Live Copies and the Multi Site Manager.","","","",""
"help/sites-administering/msm-livecopy-overview.md","Live Copy Overview Console","Learn about the basics of the Live Copy Overview Console.","Multi Site Manager","","",""
"help/sites-administering/msm-sync.md","Configuring Live Copy Synchronization","Learn about configuring Live Copy Synchronization.","Multi Site Manager","","",""
"help/sites-administering/msm-livecopy.md","Creating and Synchronizing Live Copies","Learn how to create and synchronize Live Copies.","Multi Site Manager","","",""
"help/sites-administering/msm-rollout-conflicts.md","MSM Rollout Conflicts","Learn how to deal with Multi Site Manager rollout conflicts.","Multi Site Manager","","",""
"help/sites-administering/msm-best-practices.md","MSM Best Practices","Find best practices compiled by Adobe engineering and consulting teams to help get up and running with the AEM Multi Site Manager.","Multi Site Manager","","",""
"help/sites-administering/translation.md","Translating Content for Multilingual Sites","Learn how to translate content for multilingual sites.","Language Copy","","",""
"help/sites-administering/tc-manage.md","Managing Translation Projects","Learn how to manage translation projects in AEM.","Language Copy","","",""
"help/sites-administering/tc-rules.md","Identifying Content to Translate","Learn how to identify content that needs translating.","Language Copy","","",""
"help/sites-administering/tc-prep.md","Preparing Content for Translation","Learn how to prepare content for translation.","Language Copy","","",""
"help/sites-administering/tc-lroot-classic.md","Creating a Language Root Using the Classic UI","Learn how to create a language root using the Classic UI.","Language Copy","","",""
"help/sites-administering/tc-msconf.md","Connecting to Microsoft Translator","Learn how to connect AEM to Microsoft Translator.","Language Copy","","",""
"help/sites-administering/tc-tic.md","Configuring the Translation Integration Framework","Learn how to configure the Translation Integration Framework.","Language Copy","","",""
"help/sites-administering/tc-wizard.md","Language Copy Wizard","Learn about using the Language Copy Wizard in AEM.","Language Copy","","",""
"help/sites-administering/tc-enhancements.md","Translation Enhancements","Translation enhancements in AEM.","Language Copy","","",""
"help/sites-administering/tc-bp.md","Translation Best Practices","Find best practices compiled by Adobe engineering and consulting teams to help you get up and running with translation projects.","Language Copy","","",""
"help/sites-administering/configurations.md","Configurations and the Configuration Browser","Understand AEM configurations and how they manage workspace settings in AEM.","","","",""
"help/sites-administering/aem-faqs.md","AEM FAQs","Use these FAQs to understand, configure, and troubleshoot common workflows or issues in AEM.","","","",""
"help/sites-administering/dashboards.md","Dashboards","Learn how to create, configure and develop new AEM dashboards.","","","",""
"help/sites-administering/operations-dashboard.md","Operations Dashboard","Learn how to use the Operations Dashboard.","","","",""
"help/sites-administering/backup-and-restore.md","Backup and Restore","Learn how to backup and restore your AEM content.","","","",""
"help/sites-administering/data-store-garbage-collection.md","Data Store Garbage Collection","Learn how to configure Data Store Garbage Collection to free up disk space.","","","",""
